"","fgT","frT"
"217",0.385025800863665,2.19460044424291
"218",0.380323591345023,2.1814722654982
"219",0.380323591345023,2.1814722654982
"220",0.375663988981229,2.16842261999065
"221",0.375663988981229,2.16842261999065
"222",0.371046986109827,2.1554510379316
"223",0.371046986109827,2.1554510379316
"224",0.366472562415542,2.14255705234271
"225",0.366472562415542,2.14255705234271
"226",0.361940685345749,2.12974019903911
"227",0.361940685345749,2.12974019903911
"228",0.357451310516642,2.11700001661267
"229",0.357451310516642,2.11700001661267
"230",0.353004382110244,2.10433604641548
"231",0.353004382110244,2.10433604641548
"232",0.348599833262414,2.09174783254322
"233",0.348599833262414,2.09174783254322
"234",0.344237586441994,2.07923492181884
"235",0.344237586441994,2.07923492181884
"236",0.33991755382124,2.06679686377621
"237",0.33991755382124,2.06679686377621
"238",0.335639637637685,2.05443321064389
"239",0.335639637637685,2.05443321064389
"240",0.331403730547576,2.04214351732903
"241",0.327209715971033,2.02992734140134
"242",0.323057468429067,2.01778424307718
"243",0.318946853872599,2.00571378520369
"244",0.318946853872599,2.00571378520369
"245",0.314877730003621,1.99371553324308
"246",0.310849946588646,1.98178905525699
"247",0.306863345764566,1.96993392189093
"248",0.30291776233707,1.95814970635881
"249",0.299013024071757,1.94643598442759
"250",0.295148951978066,1.93479233440203
"251",0.291325360586166,1.92321833710947
"252",0.291325360586166,1.92321833710947
"253",0.287542058216937,1.91171357588475
"254",0.283798847245157,1.90027763655523
"255",0.280095524356052,1.88891010742585
"256",0.276431880795301,1.87761057926434
"257",0.272807702612647,1.86637864528647
"258",0.269222770899227,1.8552139011414
"259",0.265676862018745,1.84411594489713
"260",0.265676862018745,1.84411594489713
"261",0.262169747832606,1.83308437702605
"262",0.258012092267193,1.81993356923096
"263",0.255270969787001,1.81121882022857
"264",0.252216336235669,1.80146459870021
"265",0.249192374169054,1.7917629080072
"266",0.246530011287956,1.78318305417128
"267",0.2435634912599,1.77357981775294
"268",0.240627116755727,1.76402829904776
"269",0.237720701758868,1.75452821953277
"270",0.235162221111787,1.74612666394341
"271",0.232311882274624,1.73672299272133
"272",0.23357505702162,1.74089613366989
"273",0.23452626088723,1.74403256865514
"274",0.235799643227001,1.74822327365438
"275",0.236758522007444,1.7513729093687
"276",0.23804216310272,1.75558125234274
"277",0.239008755037907,1.75874414434578
"278",0.240302705694782,1.76297019952993
"279",0.241602570197715,1.7672064094273
"280",0.242581359402461,1.77039024555715
"281",0.243891612544854,1.77464428495182
"282",0.244878211949014,1.7778415213142
"283",0.246198903543459,1.78211346524755
"284",0.247193350351821,1.7853241582418
"285",0.248524529793909,1.78961408207101
"286",0.249861724302865,1.79391431408228
"287",0.250868577142566,1.79714626773329
"288",0.252216336235669,1.80146459870021
"289",0.253231130650365,1.80471015510233
"290",0.254589502568921,1.80904666120037
"291",0.255612274560783,1.81230587760531
"292",0.256981307064363,1.81666063533055
"293",0.258356452581999,1.82102585702607
"294",0.258701195919137,1.82211880039051
"295",0.262169747832606,1.83308437702605
"296",0.262169747832606,1.83308437702605
"297",0.262169747832606,1.83308437702605
"298",0.265676862018745,1.84411594489713
"299",0.265676862018745,1.84411594489713
"300",0.269222770899227,1.8552139011414
"301",0.272807702612647,1.86637864528647
"302",0.276431880795301,1.87761057926434
"303",0.280095524356052,1.88891010742585
"304",0.283798847245157,1.90027763655523
"305",0.287542058216937,1.91171357588475
"306",0.291325360586166,1.92321833710947
"307",0.299013024071757,1.94643598442759
"308",0.30291776233707,1.95814970635881
"309",0.306863345764566,1.96993392189093
"310",0.310849946588646,1.98178905525699
"311",0.314877730003621,1.99371553324308
"312",0.318946853872599,2.00571378520369
