"","V1","V2"
"1",767.745059257689,76.1412168061295
"2",778.517615648323,76.3317665327067
"3",789.359454232378,76.5218481286505
"4",800.270614046597,76.7116178333064
"5",811.251130425773,76.9013028090068
"6",822.301055955604,77.091073407266
"7",833.420488699482,77.2810150211727
"8",844.609536757129,77.4711708151573
"9",855.86833202066,77.6615809570139
"10",867.197035053949,77.8522507277865
"11",873.346640144896,77.5769314410541
"12",884.760501273697,77.7681952395212
"13",896.24458440639,77.9597957120248
"14",907.799043804145,78.1517376295562
"15",919.424038292318,78.3440020034988
"16",931.119734053957,78.5365640287175
"17",942.886279295891,78.7294088991746
"18",954.723806513319,78.922528615872
"19",966.632464657154,79.1159024831975
"20",978.612384747372,79.3095342711406
"21",990.663703228697,79.5034090628906
"22",1002.7865461584,79.6975178460989
"23",1014.9810334287,79.8918529895171
"24",1027.24728942261,80.0863930764863
"25",1039.58543316252,80.2811167086002
"26",1051.99557817048,80.4760026036753
"27",1064.59783205928,80.6697575996518
"28",1077.51433757848,80.8611208174879
"29",1097.31543147202,81.5371652403248
"30",1110.95735087213,81.7235119287914
"31",1124.92475197934,81.9075671292788
"32",1139.22081367142,82.0893686401135
"33",1160.7951524556,82.7633384264008
"34",1175.85296432096,82.9403837697799
"35",1191.25072737845,83.1153322768604
"36",1207.00434141633,83.2881166059961
"37",1230.46706393266,83.9603851714771
"38",1247.00660332542,84.1287775148815
"39",1263.91368639879,84.2951487951185
"40",1281.19160478232,84.4596615508937
"41",1306.6352563826,85.1310435460347
"42",1324.73610786862,85.2917418370704
"43",1343.2194134576,85.4508428131721
"44",1362.07517432042,85.6085528864925
"45",1381.30650349345,85.7649964252669
"46",1409.34767019469,86.4366106220557
"47",1429.46020609142,86.5903935319811
"48",1449.959453276,86.7434725841441
"49",1470.86198153156,86.8961715418533
"50",1501.1364283742,87.5719070498723
"51",1522.94201428721,87.7243825827219
"52",1545.1612410932,87.8777409448894
"53",1567.79649580772,88.0324638857039
"54",1600.39374781016,88.7193565667381
"55",1623.96135889225,88.8790424505249
"56",1647.95124998647,89.0433812593937
"57",1662.44494103372,88.6823832037926
"58",1677.31949965811,88.3361313106073
"59",1702.74282886532,88.5392837265046
"60",1718.40895928136,88.2352264809746
"61",1734.41786248401,87.9592211683032
"62",1750.7538650482,87.7173215598864
"63",1778.01096434817,88.0429781687626
"64",1794.9971226571,87.8867778356439
"65",1812.25462135803,87.7807895914839
"66",1829.76592859104,87.7303873097912
"67",1847.51321075394,87.7402518570375
"68",1876.6694166589,88.348135929907
"69",1894.8687159171,88.502814862066
"70",1913.25597401619,88.7339313550187
"71",1931.81069618745,89.0426020644314
"72",1962.20843318249,89.9735536209482
"73",1981.06810572029,90.4547705386523
"74",2000.05141868384,91.0184397309712
"75",2019.14607906622,91.6632414048152
"76",2050.55764366963,92.9508845180547
"77",2069.84751375598,93.7669014758428
"78",2089.22214148218,94.6598825189441
"79",2108.69005233709,95.6386113842646
"80",2128.2335966007,96.6921614089799
"81",2160.70398815262,98.4066444963628
"82",2180.36874064382,99.6162675267195
"83",2200.09861430533,100.896510599584
"84",2219.8914494513,102.245280344013
"85",2253.14766854518,104.285177784401
"86",2273.02106657793,105.77143960198
"87",2292.95169717007,107.320938866702
"88",2299.18793764335,108.286751054686
"89",2305.4848420494,109.307442805539
"90",2311.83132400638,110.380659498506
"91",2318.21646980328,111.503739704537
"92",2324.63025301094,112.674774604401
"93",2331.06209756113,113.890682401491
"94",2337.501654749,115.148209007105
"95",2357.99577274056,117.142497865294
"96",2364.36844219438,118.477916640447
"97",2370.73040177024,119.848205558498
"98",2377.07270034368,121.250798661335
"99",2383.38673423698,122.683220826584
"100",2389.66418711623,124.143041825707
"101",2395.89711684067,125.62806687645
"102",2402.07768748258,127.135747386888
"103",2408.19834657581,128.66356459254
"104",2414.25190606243,130.209298910079
"105",2420.23144578271,131.770797847512
"106",2426.13030682441,133.345969186081
"107",2431.94208766461,134.932782604044
"108",2437.66064028993,136.529270816027
"109",2443.28006629449,138.133530287314
"110",2448.79471295549,139.743721578056
"111",2468.97482790043,142.210553964881
"112",2474.31194122984,143.84108940766
"113",2479.53359109306,145.473071588165
"114",2484.63482396715,147.104891803317
"115",2489.61091724047,148.73500267676
"116",2494.45737513358,150.361917297684
"117",2499.16992460301,151.98420824064
"118",2503.74451122915,153.600506489152
"119",2508.17729508989,155.209500283053
"120",2512.46464662189,156.80993390671
"121",2531.77685916233,159.358257546815
"122",2535.84725205636,160.95666535669
"123",2539.76538835952,162.543510643327
"124",2543.52823931423,164.117723465386
"125",2547.13297063696,165.6782836308
"126",2550.57693831223,167.224219416469
"127",2569.26511768324,169.775781651043
"128",2572.4775411346,171.310357221762
"129",2575.52427709628,172.827994161306
"130",2578.40322520673,174.327877400398
"131",2581.11245916871,175.809234451883
"132",2583.65022254563,177.271334224647
"133",2601.62351639783,179.795616840976
"134",2603.92007451902,181.239213673489
"135",2606.04195764092,182.661807708667
"136",2607.98789444471,184.062799247224
"137",2609.75676726212,185.441624832334
"138",2611.34760794426,186.797756194665
"139",2628.5350774544,189.270336198249
"140",2629.87951996902,190.602606208553
"141",2631.04425841776,191.910906634849
"142",2632.02875112363,193.194819362935
"143",2632.83259001305,194.453957027114
"144",2633.45549662213,195.687962079668
"145",2649.80444292011,198.089546976874
"146",2650.17974458385,199.295790690756
"147",2650.37378622185,200.476016181549
"148",2650.386658271,201.629958228551
"149",2650.2185654235,202.757377594495
"150",2649.86982282627,203.858060202518
"151",2649.34085232753,204.931816329874
"152",2664.6315362547,207.226728008533
